State,Total_Accidents,Severe_Accidents
AL,70316,20847
AR,1406,498
AZ,77545,15512
CA,586867,234527
CO,42455,17066
CT,22064,14000
DC,3661,742
DE,6355,322
FL,276805,92431
GA,93311,55746
IA,11640,6550
IL,98743,36798
IN,31985,13161
KS,5928,4254
KY,24192,11984
LA,75658,16304
MA,53913,16784
MD,41321,20194
MI,91759,36370
MN,59460,26064
MO,30919,21609
MS,6466,3380
NC,177674,26264
NE,24238,3931
NH,6079,1930
NJ,48149,16672
NM,6894,2749
NV,10622,3293
NY,149974,60282
OH,71384,28825
OK,69879,5892
OR,23877,6973
PA,114990,28061
RI,11614,7094
SC,229955,41868
TN,84111,27217
TX,355897,100064
UT,29705,13217
VA,97042,47302
VT,554,228
WA,61568,24983
WI,16962,8357
