Source,State,County,total_accidents,severe_accidents,severe_rate,ci_low,ci_high
Source2,TX,Rockwall,808,770,95.30,93.62,96.55
Source2,IN,Lake,2060,1891,91.80,90.54,92.90
Source2,LA,Calcasieu,1082,982,90.76,88.90,92.35
Source2,IL,St. Clair,1022,924,90.41,88.45,92.07
Source2,LA,Bossier,508,453,89.17,86.16,91.58
Source2,MO,St. Louis City,3223,2873,89.14,88.02,90.18
Source2,VA,Alexandria,1596,1388,86.97,85.22,88.54
Source2,TX,Galveston,541,469,86.69,83.58,89.31
Source2,GA,Henry,2159,1860,86.15,84.62,87.54
Source2,GA,Monroe,548,464,84.67,81.42,87.42
Source2,TN,Rutherford,751,630,83.89,81.10,86.34
Source2,VA,Wythe,566,473,83.57,80.28,86.39
Source2,GA,DeKalb,12059,10041,83.27,82.59,83.93
Source2,GA,Clayton,2934,2434,82.96,81.56,84.27
Source2,IL,Will,3748,3101,82.74,81.50,83.91
